Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,variant,variant-index,creator
Case1,Start,Start,2012-10-09 13:50:17.000,Variant 12,12,Start,Start,Start,Start,Start,Start
Case1,Assign seriousness,Value 1,2012-10-09 13:50:17.000,Variant 12,12,Assign seriousness,complete,Value 1,Variant 12,12,Fluxicon Disco
Case1,Take in charge ticket,Value 1,2012-10-09 13:51:01.000,Variant 12,12,Take in charge ticket,complete,Value 1,Variant 12,12,Fluxicon Disco
Case1,Take in charge ticket,Value 2,2012-10-12 14:02:56.000,Variant 12,12,Take in charge ticket,complete,Value 2,Variant 12,12,Fluxicon Disco
Case1,Resolve ticket,Value 1,2012-10-25 10:54:26.000,Variant 12,12,Resolve ticket,complete,Value 1,Variant 12,12,Fluxicon Disco
Case1,Closed,Value 3,2012-11-09 11:54:39.000,Variant 12,12,Closed,complete,Value 3,Variant 12,12,Fluxicon Disco
Case1,End,End,2012-11-09 11:54:39.000,Variant 12,12,End,End,End,End,End,End
Case2,Start,Start,2012-04-03 07:55:38.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case2,Assign seriousness,Value 4,2012-04-03 07:55:38.000,Variant 1,1,Assign seriousness,complete,Value 4,Variant 1,1,Fluxicon Disco
Case2,Take in charge ticket,Value 4,2012-04-03 07:55:53.000,Variant 1,1,Take in charge ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case2,Resolve ticket,Value 4,2012-04-05 08:15:52.000,Variant 1,1,Resolve ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case2,Closed,Value 5,2012-05-19 08:00:28.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case2,End,End,2012-05-19 08:00:28.000,Variant 1,1,End,End,End,End,End,End
Case3,Start,Start,2010-10-29 09:14:06.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case3,Assign seriousness,Value 6,2010-10-29 09:14:06.000,Variant 1,1,Assign seriousness,complete,Value 6,Variant 1,1,Fluxicon Disco
Case3,Take in charge ticket,Value 7,2010-11-03 15:16:11.000,Variant 1,1,Take in charge ticket,complete,Value 7,Variant 1,1,Fluxicon Disco
Case3,Resolve ticket,Value 7,2010-11-03 15:21:17.000,Variant 1,1,Resolve ticket,complete,Value 7,Variant 1,1,Fluxicon Disco
Case3,Closed,Value 5,2010-11-30 10:20:18.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case3,End,End,2010-11-30 10:20:18.000,Variant 1,1,End,End,End,End,End,End
Case4,Start,Start,2010-12-15 13:31:53.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case4,Assign seriousness,Value 8,2010-12-15 13:31:53.000,Variant 1,1,Assign seriousness,complete,Value 8,Variant 1,1,Fluxicon Disco
Case4,Take in charge ticket,Value 2,2010-12-16 07:01:07.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
